BA:74.14:Moving down:-0.010000000000005:74.86:73.32:74.05
CAT:95.69:Moving up:0.0099999999999909:97.30:94.08:95.99
JPM:40.87:Moving down:-0.010000000000005:41.02:40.12:40.64
IBM:201.11:Moving up:0.070000000000022:203.00:199.06:201.23
BA:74.13:Moving down:-0.010000000000005:74.86:73.32:74.05
BAC:7.77:Moving up:0.0099999999999998:7.82:7.65:7.73
GE:19.14:Moving down:-0.009999999999998:19.04:18.74:18.91
TRV:64.72:Moving up:0.010000000000005:64.32:63.60:63.92
MRK:38.46:Moving up:0.009999999999998:38.49:38.09:38.09
KO:77.56:Moving down:-0.0099999999999909:77.19:76.49:76.78
MCD:92.21:Moving up:0.0099999999999909:93.09:91.56:91.93
IBM:201.10:Moving down:-0.010000000000019:203.00:199.06:201.23
PG:64.17:Moving down:-0.010000000000005:64.29:63.57:63.67
CAT:95.67:Moving down:-0.019999999999996:97.30:94.08:95.99
PFE:22.86:Moving down:-0.010000000000002:22.79:21.95:22.45
KO:77.55:Moving down:-0.010000000000005:77.19:76.49:76.78
HD:50.64:Moving up:0.020000000000003:50.37:49.85:50.11
MCD:92.20:Moving down:-0.0099999999999909:93.09:91.56:91.93
DD:52.12:Moving up:0.009999999999998:52.60:51.85:52.09
CVX:103.77:Moving down:-0.02000000000001:102.50:101.37:101.78
HD:50.63:Moving down:-0.009999999999998:50.37:49.85:50.11
HPQ:23.57:Moving up:0.010000000000002:23.53:22.92:23.33
BAC:7.76:Moving down:-0.0099999999999998:7.82:7.65:7.73
GE:19.15:Moving up:0.009999999999998:19.04:18.74:18.91
DD:52.13:Moving up:0.010000000000005:52.60:51.85:52.09
CVX:103.78:Moving up:0.010000000000005:102.50:101.37:101.78
DD:52.12:Moving down:-0.01:52.60:51.85:52.09
MMM:87.25:Moving down:-0.019999999999996:87.84:85.98:87.27
JPM:40.88:Moving up:0.010000000000005:41.02:40.12:40.64
KFT:39.07:Moving down:-0.009999999999998:39.14:38.84:38.87
UTX:77.45:Moving up:0.010000000000005:77.91:76.76:77.01
CAT:95.66:Moving down:-0.01:97.30:94.08:95.99
CVX:103.77:Moving down:-0.01:102.50:101.37:101.78
KO:77.58:Moving up:0.03:77.19:76.49:76.78
IBM:201.14:Moving up:0.04:203.00:199.06:201.23
MRK:38.44:Moving down:-0.02:38.49:38.09:38.09
JNJ:64.60:Moving up:0.03:64.88:64.25:64.28
CAT:95.73:Moving up:0.07:97.30:94.08:95.99
DD:52.14:Moving up:0.02:52.60:51.85:52.09
UTX:77.49:Moving up:0.04:77.91:76.76:77.01
VZ:40.66:Moving up:0.04:40.47:40.10:40.25
CSCO:16.91:Moving up:16.91:18.89:18.48:18.78
MSFT:30.79:Moving up:30.79:30.83:30.10:30.76
WMT:59.33:Moving down:-0.02:59.24:58.27:59.03
MSFT:30.78:Moving down:-0.01:30.83:30.10:30.76
CAT:95.72:Moving down:-0.01:97.30:94.08:95.99
CVX:103.80:Moving up:0.03:102.50:101.37:101.78
PG:64.16:Moving down:-0.01:64.29:63.57:63.67
PG::Moving down:-64.16:64.29:63.57:63.67
JPM:40.87:Moving down:-0.01:41.02:40.12:40.64
MCD:92.18:Moving down:-0.02:93.09:91.56:91.93
MMM:87.26:Moving up:0.01:87.84:85.98:87.27
KFT:39.09:Moving up:0.02:39.14:38.84:38.87
CVX:103.81:Moving up:0.01:102.50:101.37:101.78
